Arrah12001082,Bihar12001082,Patna_Cluster,Patna_Cluster12001082,East,Bihar,Arrah,Anand Kumar,12001082,NUTRI ONE NJAX 100 ml,CROP NUTRITION,,,PRIVATE LABEL,NUTRI ONE NJAX,0.1,C,15.0%,15.0%,50,38,38,380,380,0,0,0,0,,,,0,0,0,0,,0,0,100,,100,0,0,0,,0,0,0,,,0,0,0,100,0,100,0,0,0,0,10,0,0,10,0,0,0,0,0,0,"5,000",0,0,"5,000",0,0,0,0,"3,800",0,0,"3,800",0,0,0,0,570,0,0,570,0%,18%,No AOP | Plan > Inventory (Shortage),0,0,0,0,0,0,0,0,0,0,0,0,Arrah
Arrah12001086,Bihar12001086,Patna_Cluster,Patna_Cluster12001086,East,Bihar,Arrah,Anand Kumar,12001086,NUTRI ONE NJAX 50 ML,CROP NUTRITION,,,PRIVATE LABEL,NUTRI ONE NJAX,0.05,C,15.0%,15.0%,29,27,27,530,540,0,0,0,0,,,,0,0,0,0,,0,0,150,,150,0,0,0,,0,0,0,,,0,0,0,150,0,150,0,0,0,0,7.5,0,0,8,0,0,0,0,0,0,"4,350",0,0,"4,350",0,0,0,0,"4,050",0,0,"4,050",0,0,0,0,608,0,0,608,0%,18%,No AOP | Plan > Inventory (Shortage),0,0,0,0,0,0,0,0,0,0,0,0,Arrah
Arrah12000474,Bihar12000474,Patna_Cluster,Patna_Cluster12000474,East,Bihar,Arrah,Anand Kumar,12000474,Organic PROM 50 Kg,CROP NUTRITION,,,PRIVATE LABEL,ORGANIC PROM,50,A,30.0%,30.0%,"1,100",950,950,19,19,0,0,0,0,,,,0,0,0,0,,0,25,,,0,0,7,,,0,0,0,,,0,0,32,0,0,0,"1,255",356,0,"1,611",0,0,0,0,0,0,"25,034","7,108",0,"32,141",0,0,0,0,"23,841","6,769",0,"30,611",0,0,0,0,"7,152","2,031",0,"9,183",0,0,0,0,0%,5%,In AOP but Plan is ZERO,0,0,0,0,0,0,0,0,0,0,0,0,Arrah
Arrah12000594,Bihar12000594,Patna_Cluster,Patna_Cluster12000594,East,Bihar,Arrah,Anand Kumar,12000594,Starter 4 Kg,CROP NUTRITION,,,PRIVATE LABEL,STARTER,4,A,40.0%,40.0%,500,420,420,105,105,1,1,,2,,,,0,2674,0,"1,738,100",,-101,42,100,,100,155,222,20,,20,,0,,,0,54,264,120,0,120,168,886,0,"1,054",400,80,0,480,0,0,"18,475","97,730",0,"116,205","50,000","10,000",0,"60,000","17,595","93,076",0,"110,671","42,000","8,400",0,"50,400","7,038","37,231",0,"44,269","16,800","3,360",0,"20,160",0%,5%,Plan > AOP | Plan < Inventory (Excess),"-50,500","77,500",,"27,000","-41,843","64,214",,"22,371","-14,414","22,121",,"7,707",Arrah
Arrah12000595,Bihar12000595,Patna_Cluster,Patna_Cluster12000595,East,Bihar,Arrah,Anand Kumar,12000595,Starter 1 Kg,CROP NUTRITION,,,PRIVATE LABEL,STARTER,1,A,40.0%,40.0%,138,115,115,115,115,,1,,1,,,,0,3166,0,"569,880",,,0,300,,300,20,0,20,,20,,0,,,0,20,0,320,0,320,0,0,0,0,300,20,0,320,0,0,0,0,0,0,"41,400","2,760",0,"44,160",0,0,0,0,"34,500","2,300",0,"36,800",0,0,0,0,"13,800",920,0,"14,720",0%,5%,No AOP | Plan < Inventory (Excess),,"2,760",,"2,760",,"2,287",,"2,287",,785,,785,Arrah
Arrah12000662,Bihar12000662,Patna_Cluster,Patna_Cluster12000662,East,Bihar,Arrah,Anand Kumar,12000662,WSF 19 All 19:19:19 1 Kg,CROP NUTRITION,,,PRIVATE LABEL,WSF 19 ALL 19:19:19,1,B,20.0%,20.0%,130,120,120,120,120,1,1,2,4,,,,0,2907,0,"415,286",,50,101,300,,300,25,50,200,,200,475,956,956,,956,550,"1,107","1,456",0,"1,456",101,50,956,"1,107",300,200,956,"1,456",0,0,"12,685","6,342","120,503","139,530","39,000","26,000","124,329","189,329","12,081","6,040","114,765","132,886","36,000","24,000","114,765","174,765","2,416","1,208","22,953","26,577","7,200","4,800","22,953","34,953",0%,5%,Plan > AOP | Plan < Inventory (Excess),"5,500","2,750","52,250","60,500","5,238","2,619","47,976","55,833",937,468,"7,124","8,529",Arrah
Arrah12000934,Bihar12000934,Patna_Cluster,Patna_Cluster12000934,East,Bihar,Arrah,Anand Kumar,12000934,WSF CN 5 Kg,CROP NUTRITION,,,PRIVATE LABEL,WSF CN,5,D,7.0%,7.0%,400,265,265,53,53,,2,,2,,,,0,4,0,"1,219",,,0,,,0,55,112,,,0,,0,,,0,55,112,0,0,0,0,560,0,560,0,0,0,0,0,0,0,"31,164",0,"31,164",0,0,0,0,0,"29,680",0,"29,680",0,0,0,0,0,"2,078",0,"2,078",0,0,0,0,0%,5%,No AOP | Plan < Inventory (Excess),,"15,400",,"15,400",,"14,667",,"14,667",,"1,668",,"1,668",Arrah
Arrah12000674,Bihar12000674,Patna_Cluster,Patna_Cluster12000674,East,Bihar,Arrah,Anand Kumar,12000674,WSF SOP 00:00:50 1 Kg,CROP NUTRITION,,,PRIVATE LABEL,WSF SOP 00:00:50,1,C,10.0%,10.0%,140,125,125,125,125,0,0,0,0,,,,0,465,0,"66,429",,0,0,,,0,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,5%,No AOP | Plan < Inventory (Excess),0,0,0,0,0,0,0,0,0,0,0,0,Arrah
Arrah12000079,Bihar12000079,Patna_Cluster,Patna_Cluster12000079,East,Bihar,Arrah,Anand Kumar,12000079,Biovita Liquid 1 L,CROP PROTECTION,,,BRANDED,BIOVITA LIQUID,1,D,2.4%,4.4%,649,677,644,677,644,1,,,1,,,,0,8,0,"5,800",,2,2,,,0,,,,,0,,,,,0,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,"1,533",0,0,"1,533",0,0,0,0,"1,353",0,0,"1,353",0,0,0,0,32,0,0,32,0,0,0,0,,,In AOP but Plan is ZERO,"1,460",,,"1,460","1,288",,,"1,288",56,,,56,Arrah
Arrah12000387,Bihar12000387,Patna_Cluster,Patna_Cluster12000387,East,Bihar,Arrah,Anand Kumar,12000387,Miraculan 100 ml,CROP PROTECTION,,,BRANDED,MIRACULAN,0.1,D,2.4%,2.3%,46,41,38,405,380,0,0,0,0,,,,0,0,0,0,,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,No AOP | Plan = Inventory (At Par),0,0,0,0,0,0,0,0,0,0,0,0,Arrah
Arrah12000391,Bihar12000391,Patna_Cluster,Patna_Cluster12000391,East,Bihar,Arrah,Anand Kumar,12000391,Miraculan 50 ml,CROP PROTECTION,,,BRANDED,MIRACULAN,0.05,D,2.4%,4.7%,25,25,23,491,460,0,0,0,0,,,,0,0,0,0,,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,No AOP | Plan = Inventory (At Par),0,0,0,0,0,0,0,0,0,0,0,0,Arrah
Arrah13000050,Bihar13000050,Patna_Cluster,Patna_Cluster13000050,East,Bihar,Arrah,Anand Kumar,13000050,Actara 5 gm,CROP PROTECTION,,,BRANDED,ACTARA,0.005,D,2.4%,4.6%,10,8,8,"1,543","1,600",1,,,1,,,,0,0,0,0,,50,50,,,0,,,,,0,,,,,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,525,0,0,525,0,0,0,0,386,0,0,386,0,0,0,0,9,0,0,9,0,0,0,0,,,In AOP but Plan is ZERO,500,,,500,367,,,367,15,,,15,Arrah
Arrah13000970,Bihar13000970,Patna_Cluster,Patna_Cluster13000970,East,Bihar,Arrah,Anand Kumar,13000970,Glycel 500 ml,CROP PROTECTION,,,BRANDED,GLYCEL,0.5,D,2.4%,3.8%,238,185,174,369,348,2,1,,3,,,,0,0,0,0,,20,20,,,0,10,10,,,0,,,,,0,30,30,0,0,0,10,5,0,15,0,0,0,0,0,0,"4,515","2,258",0,"6,773",0,0,0,0,"3,625","1,830",0,"5,455",0,0,0,0,87,44,0,131,0,0,0,0,,,In AOP but Plan is ZERO,"4,300","2,150",,"6,450","3,452","1,742",,"5,194",115,73,,188,Arrah
Arrah13000971,Bihar13000971,Patna_Cluster,Patna_Cluster13000971,East,Bihar,Arrah,Anand Kumar,13000971,Glycel 1 L,CROP PROTECTION,,,BRANDED,GLYCEL,1,D,2.7%,1.1%,490,354,334,354,334,2,,2,4,,,,0,552,0,"201,152",,20,20,,,0,,,,,0,45,45,,,0,65,65,0,0,0,20,0,45,65,0,0,0,0,0,0,"8,715",0,"19,441","28,156",0,0,0,0,"7,139",0,"15,696","22,835",0,0,0,0,188,,608,796,0,0,0,0,,,In AOP but Plan is ZERO,"8,300",,"18,515","26,815","6,799",,"14,948","21,747",188,,608,796,Arrah
Arrah13001510,Bihar13001510,Patna_Cluster,Patna_Cluster13001510,East,Bihar,Arrah,Anand Kumar,13001510,Mera 71 100 gm,CROP PROTECTION,,,BRANDED,MERA 71,0.1,D,2.4%,4.1%,82,64,60,636,600,0,0,0,0,,,,0,0,0,0,,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,No AOP | Plan = Inventory (At Par),0,0,0,0,0,0,0,0,0,0,0,0,Arrah
Arrah13001743,Bihar13001743,Patna_Cluster,Patna_Cluster13001743,East,Bihar,Arrah,Anand Kumar,13001743,Pegasus 25 gm,CROP PROTECTION,,,BRANDED,PEGASUS,0.025,D,2.4%,4.1%,92,68,64,"2,725","2,560",0,0,0,0,,,,0,279,0,"35,466",,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,No AOP | Plan < Inventory (Excess),0,0,0,0,0,0,0,0,0,0,0,0,Arrah
Arrah13002020,Bihar13002020,Patna_Cluster,Patna_Cluster13002020,East,Bihar,Arrah,Anand Kumar,13002020,Saaf 100 gm,CROP PROTECTION,,,BRANDED,SAAF,0.1,D,2.4%,4.2%,62,52,50,520,500,0,0,0,0,,,,0,0,0,0,,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,No AOP | Plan = Inventory (At Par),0,0,0,0,0,0,0,0,0,0,0,0,Arrah
Arrah13002027,Bihar13002027,Patna_Cluster,Patna_Cluster13002027,East,Bihar,Arrah,Anand Kumar,13002027,Saathi 20 gm,CROP PROTECTION,,,BRANDED,SAATHI,0.02,D,2.4%,4.5%,46,38,37,"1,924","1,850",0,0,0,0,,,,0,7630,0,"387,966",,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,No AOP | Plan < Inventory (Excess),0,0,0,0,0,0,0,0,0,0,0,0,Arrah
Arrah13002163,Bihar13002163,Patna_Cluster,Patna_Cluster13002163,East,Bihar,Arrah,Anand Kumar,13002163,Society 1 L,CROP PROTECTION,,,BRANDED,SOCIETY,1,D,2.4%,2.9%,"1,680","1,585","1,484","1,585","1,484",0,0,0,0,,,,0,0,0,0,,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,No AOP | Plan = Inventory (At Par),0,0,0,0,0,0,0,0,0,0,0,0,Arrah
Arrah13002318,Bihar13002318,Patna_Cluster,Patna_Cluster13002318,East,Bihar,Arrah,Anand Kumar,13002318,Super Killer 25% 100 ml,CROP PROTECTION,,,BRANDED,SUPER KILLER 25%,0.1,D,2.4%,4.1%,69,60,57,602,570,0,0,0,0,,,,0,0,0,0,,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,No AOP | Plan = Inventory (At Par),0,0,0,0,0,0,0,0,0,0,0,0,Arrah
Arrah13005431,Bihar13005431,Patna_Cluster,Patna_Cluster13005431,East,Bihar,Arrah,Anand Kumar,13005431,Osheen Ultra 3.48 GM,CROP PROTECTION,,,BRANDED,OSHEEN,0.16,D,2.4%,4.4%,56,41,39,256,244,0,0,0,0,,,,0,1149,0,"92,504",,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,No AOP | Plan < Inventory (Excess),0,0,0,0,0,0,0,0,0,0,0,0,Arrah
