Sitamarhi10004596,Bihar10004596,Vaishali_Cluster,Vaishali_Cluster10004596,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,10004596,GAPL Res Paddy DPS- 110 3kg,FIELD CROP,Paddy,Research,PRIVATE LABEL,GAPL RES PADDY DPS - 110,3,D,0.0%,20.0%,270,0,270,0,90,0,0,0,0,,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,-600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,5%,No AOP | Plan = Inventory (At Par),0,0,0,0,0,0,0,0,0,0,0,0,Sitamarhi
Sitamarhi12000131,Bihar12000131,Vaishali_Cluster,Vaishali_Cluster12000131,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,12000131,Chelates Boron 20% 250 gm,CROP NUTRITION,,,PRIVATE LABEL,CHELATES BORON 20%,0.25,A,37.0%,37.0%,95,69,69,275,276,1,,1,2,,,,0,0,0,0,,10,16,,,0,,0,,,0,80,126.3157895,,,0,90,142,0,0,0,4,0,32,36,0,0,0,0,0,0,"1,140",0,"9,118","10,258",0,0,0,0,"1,086",0,"8,684","9,770",0,0,0,0,402,0,"3,213","3,615",0,0,0,0,,,In AOP but Plan is ZERO,800,,"6,400","7,200",693,,"5,543","6,236",245,,"1,956","2,201",Sitamarhi
Sitamarhi12001397,Bihar12001397,Vaishali_Cluster,Vaishali_Cluster12001397,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,12001397,LOKKE NUTRIONE 5 ML,CROP NUTRITION,,,PRIVATE LABEL,LOKKE NUTRIONE,0.005,A,46.0%,46.0%,12,8,8,"1,600","1,600",,1,,1,,,,0,0,0,0,,,0,,,0,20,0,500,,500,,0,,,0,20,0,500,0,500,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,"6,000",0,"6,000",0,0,0,0,0,"4,000",0,"4,000",0,0,0,0,0,"1,840",0,"1,840",,,No AOP | Plan = Inventory (At Par),,280,,280,,230,,230,,149,,149,Sitamarhi
Sitamarhi12000595,Bihar12000595,Vaishali_Cluster,Vaishali_Cluster12000595,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,12000595,Starter 1 Kg,CROP NUTRITION,,,PRIVATE LABEL,STARTER,1,A,40.0%,40.0%,138,115,115,115,115,2,1,2,5,,,,10,0,"1,380",0,,50,37,50,,50,201,155.6844613,50,,50,340,263.3468499,200,,200,591,456,300,0,300,37,156,263,456,50,50,200,300,0,0,"4,431","18,799","31,799","55,029","6,900","6,900","27,600","41,400","4,220","17,904","30,285","52,408","5,750","5,750","23,000","34,500","1,688","7,161","12,114","20,963","2,300","2,300","9,200","13,800",,,Plan > AOP | Plan > Inventory (Shortage),"6,900","27,738","46,920","81,558","5,717","22,983","38,877","67,577","1,962","7,887","13,341","23,190",Sitamarhi
Sitamarhi12001203,Bihar12001203,Vaishali_Cluster,Vaishali_Cluster12001203,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,12001203,Vajra 5 Kg,CROP NUTRITION,,,PRIVATE LABEL,VAJRA,5,A,40.0%,40.0%,750,590,550,118,110,2,3,1,4,,,,0,0,0,0,,25,48,,,0,128,275,,,0,40,76.92307692,50,,50,193,400,50,0,50,240,"1,375",385,"2,000",0,0,250,250,0,0,"29,784","170,363","47,654","247,800",0,0,"37,500","37,500","28,365","162,250","45,385","236,000",0,0,"27,500","27,500","11,346","64,900","18,154","94,400",0,0,"11,000","11,000",,,In AOP but Plan is ZERO,"18,375","94,080","29,400","141,855","14,175","73,472","23,800","111,447","4,804","25,489","8,801","39,094",Sitamarhi
Sitamarhi12001394,Bihar12001394,Vaishali_Cluster,Vaishali_Cluster12001394,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,12001394,Vajra 1 Kg,CROP NUTRITION,,,PRIVATE LABEL,VAJRA,1,A,42.0%,38.0%,160,131,120,131,120,2,2,,3,,,,0,0,0,0,,140,206,100,,100,700,1029.411765,200,,200,,0,,,0,840,"1,235",300,0,300,206,"1,029",0,"1,235",100,200,0,300,0,0,"28,319","141,596",0,"169,915","16,000","32,000",0,"48,000","26,971","134,853",0,"161,824","12,000","24,000",0,"36,000","11,328","56,638",0,"67,966","4,560","9,120",0,"13,680",,,Plan < AOP | Plan > Inventory (Shortage),"22,400","112,000",,"134,400","17,280","87,467",,"104,747","5,994","31,029",,"37,023",Sitamarhi
Sitamarhi12000668,Bihar12000668,Vaishali_Cluster,Vaishali_Cluster12000668,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,12000668,WSF KNO3 13:00:45 1 Kg,CROP NUTRITION,,,PRIVATE LABEL,WSF KNO3 13:00:45,1,C,10.0%,10.0%,175,167,167,167,167,,1,1,2,,,,0,0,0,0,,,0,,,0,25,25,,,0,0,25,,,0,25,50,0,0,0,0,25,25,50,0,0,0,0,0,0,0,"4,384","4,384","8,768",0,0,0,0,0,"4,175","4,175","8,350",0,0,0,0,0,418,418,835,0,0,0,0,,,No AOP | Plan = Inventory (At Par),,"3,625",0,"3,625",,"3,452",-,"3,452",,402,-,402,Sitamarhi
Sitamarhi13005472,Bihar13005472,Vaishali_Cluster,Vaishali_Cluster13005472,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,13005472,Aerowon 20 gm,CROP PROTECTION,,,PRIVATE LABEL,AEROWON,0.02,A,39.6%,40.0%,25,17,18,847,900,1,2,1,4,,,,0,0,0,0,,200,34,,,0,70,11.91489362,100,,100,50,8.510638298,,,0,320,54,100,0,100,1,0,0,1,0,2,0,2,0,0,801,280,200,"1,281",0,"2,500",0,"2,500",577,202,144,923,0,"1,800",0,"1,800",228,80,57,365,0,720,0,720,,,In AOP but Plan is ZERO,"4,960","1,736","1,240","7,936","3,867","1,349",946,"6,162","1,788",621,426,"2,835",Sitamarhi
Sitamarhi13003697,Bihar13003697,Vaishali_Cluster,Vaishali_Cluster13003697,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,13003697,Azytop 250 ml,CROP PROTECTION,,,PRIVATE LABEL,AZYTOP,0.25,A,45.7%,35.0%,358,244,260,976,"1,040",1,,,1,,,,0,0,0,0,,20,40,,,0,,0,,,0,,0,,,0,20,40,0,0,0,10,0,0,10,0,0,0,0,0,0,"14,396",0,0,"14,396",0,0,0,0,"9,760",0,0,"9,760",0,0,0,0,"4,457",0,0,"4,457",0,0,0,0,,,In AOP but Plan is ZERO,"8,360",,,"8,360","6,702",26,,"6,728","3,075",26,,"3,101",Sitamarhi
Sitamarhi13003704,Bihar13003704,Vaishali_Cluster,Vaishali_Cluster13003704,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,13003704,Caterkill 1 L,CROP PROTECTION,,,PRIVATE LABEL,CATERKILL,1,B,23.9%,15.0%,630,463,450,463,450,1,,1,2,,,,0,0,0,0,,10,12,,,0,,0,,,0,5,6.060606061,,,0,15,18,0,0,0,12,0,6,18,0,0,0,0,0,0,"7,358",0,"3,679","11,037",0,0,0,0,"5,612",0,"2,806","8,418",0,0,0,0,"1,342",0,671,"2,013",0,0,0,0,,,In AOP but Plan is ZERO,"5,850",,"2,925","8,775","4,727",11,"2,433","7,171",583,11,361,955,Sitamarhi
Sitamarhi13003705,Bihar13003705,Vaishali_Cluster,Vaishali_Cluster13003705,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,13003705,Caterkill 500 ml,CROP PROTECTION,,,PRIVATE LABEL,CATERKILL,0.5,C,16.5%,15.0%,325,241,240,481,480,1,,2,3,,,,0,0,0,0,,20,31,,,0,,0,,,0,60,93.39437541,40,,40,80,125,40,0,40,16,0,47,62,0,0,20,20,0,0,"9,816",0,"29,449","39,266",0,0,"13,000","13,000","7,487",0,"22,461","29,948",0,0,"9,600","9,600","1,232",0,"3,695","4,927",0,0,"1,440","1,440",,,In AOP but Plan is ZERO,"6,080",,"18,240","24,320","4,916",12,"15,051","19,979",763,12,"2,592","3,367",Sitamarhi
Sitamarhi13004310,Bihar13004310,Vaishali_Cluster,Vaishali_Cluster13004310,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,13004310,Contropest 2 gm,CROP PROTECTION,,,PRIVATE LABEL,CONTROPEST,0.002,A,42.2%,38.0%,9,6,9,"3,119","4,500",,,3,3,,,,0,0,0,0,,,0,,,0,,0,,,0,250,285.7142857,300,,300,250,286,300,0,300,0,0,1,1,0,0,1,1,0,0,0,0,"2,629","2,629",0,0,"2,700","2,700",0,0,"1,782","1,782",0,0,"2,700","2,700",0,0,752,752,0,0,"1,026","1,026",,,No AOP | Plan = Inventory (At Par),,,"2,500","2,500",,,"1,737","1,737",,,861,861,Sitamarhi
Sitamarhi13005507,Bihar13005507,Vaishali_Cluster,Vaishali_Cluster13005507,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,13005507,Contropest SC 250 ml,CROP PROTECTION,,,PRIVATE LABEL,CONTROPEST SC,0.25,A,100.0%,15.0%,373,242,260,967,"1,040",1,,,1,,,,0,0,0,0,,20,40,,,0,,0,,,0,,0,,,0,20,40,0,0,0,10,0,0,10,0,0,0,0,0,0,"12,967",0,0,"12,967",0,0,0,0,"9,670",0,0,"9,670",0,0,0,0,"9,670",0,0,"9,670",0,0,0,0,,,In AOP but Plan is ZERO,"5,450",,,"5,450","4,222",27,,"4,249","1,846",27,,"1,873",Sitamarhi
Sitamarhi13005537,Bihar13005537,Vaishali_Cluster,Vaishali_Cluster13005537,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,13005537,COX50 500 gm,CROP PROTECTION,,,PRIVATE LABEL,COX50,0.5,D,5.0%,41.0%,535,0,385,0,770,,1,,1,,,,0,0,0,0,,,0,,,0,20,25,,,0,,0,,,0,20,25,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,No AOP | Plan = Inventory (At Par),,"8,200",,"8,200",,"6,880",,"6,880",,"1,153",,"1,153",Sitamarhi
Sitamarhi13005123,Bihar13005123,Vaishali_Cluster,Vaishali_Cluster13005123,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,13005123,Dinome 250 ml,CROP PROTECTION,,,PRIVATE LABEL,DINOME,0.25,D,2.4%,4.0%,108,79,79,314,314,2,2,1,4,,,,0,0,0,0,,120,135,,,0,250,280.8988764,,,0,40,44.94382022,,,0,410,461,0,0,0,34,70,11,115,0,0,0,0,0,0,"13,287","27,680","4,429","45,396",0,0,0,0,"10,584","22,051","3,528","36,163",0,0,0,0,251,523,84,857,0,0,0,0,,,In AOP but Plan is ZERO,"11,640","24,250","3,880","39,770","9,534","19,648","3,189","32,371","1,831","3,600",621,"6,052",Sitamarhi
Sitamarhi13005128,Bihar13005128,Vaishali_Cluster,Vaishali_Cluster13005128,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,13005128,Dinome 500 ml,CROP PROTECTION,,,PRIVATE LABEL,DINOME,0.5,D,3.8%,4.0%,193,137,140,273,280,1,1,,1,,,,0,0,0,0,,20,23,,,0,122,138.6363636,,,0,,0,,,0,142,161,0,0,0,11,69,0,81,0,0,0,0,0,0,"3,894","23,755",0,"27,650",0,0,0,0,"3,102","18,924",0,"22,026",0,0,0,0,116,710,0,826,0,0,0,0,,,In AOP but Plan is ZERO,"3,400","20,740",,"24,140","2,774","16,751",,"19,525",466,"2,671",,"3,137",Sitamarhi
Sitamarhi13004976,Bihar13004976,Vaishali_Cluster,Vaishali_Cluster13004976,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,13004976,Entokill 80 ml,CROP PROTECTION,,,PRIVATE LABEL,ENTOKILL,0.08,A,57.1%,45.0%,110,80,94,998,"1,169",,1,,1,,,,50,0,"4,661",0,,,0,,,0,10,21.21212121,,,0,,0,,,0,10,21,0,0,0,0,2,0,2,0,0,0,0,0,0,0,"2,351",0,"2,351",0,0,0,0,0,"1,694",0,"1,694",0,0,0,0,0,966,0,966,0,0,0,0,,,No AOP | Plan < Inventory (Excess),,"1,340",,"1,340",,"1,054",,"1,054",,572,,572,Sitamarhi
Sitamarhi13005591,Bihar13005591,Vaishali_Cluster,Vaishali_Cluster13005591,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,13005591,Entokill 40 ml,CROP PROTECTION,,,PRIVATE LABEL,ENTOKILL,0.04,A,45.7%,45.0%,57,43,43,"1,063","1,063",1,,2,3,,,,0,0,0,0,,30,36,,,0,,0,,,0,110,130.952381,100,,100,140,167,100,0,100,1,0,5,7,0,0,4,4,0,0,"2,108",0,"7,730","9,838",0,0,"5,700","5,700","1,519",0,"5,568","7,087",0,0,"4,252","4,252",694,0,"2,546","3,240",0,0,"1,913","1,913",,,In AOP but Plan is ZERO,"2,400",,"8,800","11,200","1,859",12,"6,818","8,689","1,158",12,"4,246","5,416",Sitamarhi
Sitamarhi13005348,Bihar13005348,Vaishali_Cluster,Vaishali_Cluster13005348,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,13005348,Flameo 160 gm,CROP PROTECTION,,,PRIVATE LABEL,FLAMEO,0.16,C,12.0%,36.0%,184,106,135,660,844,0,0,0,0,,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,No AOP | Plan = Inventory (At Par),0,0,0,0,0,0,0,0,0,0,0,0,Sitamarhi
Sitamarhi13004987,Bihar13004987,Vaishali_Cluster,Vaishali_Cluster13004987,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,13004987,GAPL Atraforce 500 GM,CROP PROTECTION,,,PRIVATE LABEL,GAPL ATRAFORCE,0.5,C,10.0%,20.0%,200,139,170,278,340,,,1,1,,,,0,0,0,0,,,0,,,0,,0,,,0,5,0,,,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,No AOP | Plan = Inventory (At Par),,,950,950,,,789,789,,,183,183,Sitamarhi
Sitamarhi13005349,Bihar13005349,Vaishali_Cluster,Vaishali_Cluster13005349,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,13005349,Gizmo 16 gm,CROP PROTECTION,,,PRIVATE LABEL,GIZMO,0.016,C,17.9%,4.0%,296,168,240,"10,500","15,000",0,0,0,0,,,,10,0,"2,508",0,,0,0,,,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,No AOP | Plan < Inventory (Excess),0,0,0,0,0,0,0,0,0,0,0,0,Sitamarhi
Sitamarhi13005551,Bihar13005551,Vaishali_Cluster,Vaishali_Cluster13005551,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,13005551,Hexle 100 ML,CROP PROTECTION,,,PRIVATE LABEL,HEXLE,0.1,A,34.5%,43.0%,44,25,38,252,380,1,,,1,,,,0,0,0,0,,20,50,,,0,,0,100,,100,,0,,,0,20,50,100,0,100,5,0,0,5,0,10,0,10,0,0,"1,652",0,0,"1,652",0,"4,400",0,"4,400","1,260",0,0,"1,260",0,"3,800",0,"3,800",435,0,0,435,0,"1,634",0,"1,634",,,In AOP but Plan is ZERO,700,,,700,581,1,,582,222,1,,223,Sitamarhi
Sitamarhi13005553,Bihar13005553,Vaishali_Cluster,Vaishali_Cluster13005553,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,13005553,Hexle 250 ml,CROP PROTECTION,,,PRIVATE LABEL,HEXLE,0.25,A,36.2%,43.0%,99,59,70,234,280,1,1,,1,,,,0,0,0,0,,10,16,,,0,40,64,,,0,,0,,,0,50,80,0,0,0,4,16,0,20,0,0,0,0,0,0,"1,227","4,909",0,"6,136",0,0,0,0,936,"3,744",0,"4,680",0,0,0,0,339,"1,356",0,"1,696",0,0,0,0,,,In AOP but Plan is ZERO,750,"3,000",,"3,750",623,"2,492",,"3,115",228,914,,"1,142",Sitamarhi
Sitamarhi13005554,Bihar13005554,Vaishali_Cluster,Vaishali_Cluster13005554,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,13005554,Hexle 500 ml,CROP PROTECTION,,,PRIVATE LABEL,HEXLE,0.5,A,40.6%,43.0%,180,109,130,218,260,1,1,,1,,,,0,0,0,0,,10,17,,,0,20,33.33333333,,,0,,0,,,0,30,50,0,0,0,8,17,0,25,0,0,0,0,0,0,"2,382","4,764",0,"7,146",0,0,0,0,"1,817","3,633",0,"5,450",0,0,0,0,737,"1,474",0,"2,212",0,0,0,0,,,In AOP but Plan is ZERO,"1,350","2,700",,"4,050","1,121","2,244",,"3,365",410,822,,"1,232",Sitamarhi
Sitamarhi13003708,Bihar13003708,Vaishali_Cluster,Vaishali_Cluster13003708,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,13003708,Illigo 500 gm,CROP PROTECTION,,,PRIVATE LABEL,ILLIGO,0.5,B,23.0%,21.0%,650,472,472,943,943,0,0,0,0,,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,No AOP | Plan = Inventory (At Par),0,0,0,0,0,0,0,0,0,0,0,0,Sitamarhi
Sitamarhi13005485,Bihar13005485,Vaishali_Cluster,Vaishali_Cluster13005485,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,13005485,Kiosk 25 gm,CROP PROTECTION,,,PRIVATE LABEL,KIOSK,0.025,A,38.3%,8.0%,51,40,40,"1,602","1,602",0,0,0,0,,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,No AOP | Plan = Inventory (At Par),0,0,0,0,0,0,0,0,0,0,0,0,Sitamarhi
Sitamarhi13005108,Bihar13005108,Vaishali_Cluster,Vaishali_Cluster13005108,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,13005108,Pendex 1 L,CROP PROTECTION,,,PRIVATE LABEL,PENDEX,1,C,19.9%,12.0%,380,302,302,302,302,0,0,0,0,,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,No AOP | Plan = Inventory (At Par),0,0,0,0,0,0,0,0,0,0,0,0,Sitamarhi
Sitamarhi13005491,Bihar13005491,Vaishali_Cluster,Vaishali_Cluster13005491,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,13005491,Slaymite WG 2 Gm,CROP PROTECTION,,,PRIVATE LABEL,SLAYMITE WG,0.002,A,34.7%,5.0%,17,13,13,"6,360","6,500",,,1,1,,,,0,0,0,0,,,0,,,0,,0,,,0,200,254.5454545,300,,300,200,255,300,0,300,0,0,1,1,0,0,1,1,0,0,0,0,"5,458","5,458",0,0,"5,100","5,100",0,0,"3,238","3,238",0,0,"3,900","3,900",0,0,"1,122","1,122",0,0,195,195,,,No AOP | Plan = Inventory (At Par),,,"4,400","4,400",,,"3,431","3,431",,,"1,751","1,751",Sitamarhi
Sitamarhi13005607,Bihar13005607,Vaishali_Cluster,Vaishali_Cluster13005607,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,13005607,Synpact 25 ml,CROP PROTECTION,,,PRIVATE LABEL,SYNPACT,0.025,A,32.3%,35.0%,63,38,38,"1,521","1,521",,,3,3,,,,0,0,0,0,,,0,,,0,,0,,,0,130,232.1428571,200,,200,130,232,200,0,200,0,0,6,6,0,0,5,5,0,0,0,0,"13,020","13,020",0,0,"12,600","12,600",0,0,"8,827","8,827",0,0,"7,605","7,605",0,0,"2,849","2,849",0,0,"2,662","2,662",,,No AOP | Plan = Inventory (At Par),,,"12,350","12,350",,,"8,861","8,861",,,"4,596","4,596",Sitamarhi
Sitamarhi10004628,Bihar10004628,Vaishali_Cluster,Vaishali_Cluster10004628,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,10004628,Paddy New Andhra MTU-7029 6 Kg,FIELD CROP,Paddy,,BRANDED,PADDY NEW ANDHRA MTU-7029,6,D,0.0%,40.0%,270,0,129,0,22,0,0,0,0,,,,425,0,"114,750",0,,0,0,,,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,No AOP | Plan < Inventory (Excess),0,0,0,0,0,0,0,0,0,0,0,0,Sitamarhi
Sitamarhi11000010,Bihar11000010,Vaishali_Cluster,Vaishali_Cluster11000010,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,11000010,DeHaat Khurak 3000 50 Kg,CATTLE FEED,,,PRIVATE LABEL,DEHAAT KHURAK 3000,50,D,9.0%,9.0%,"1,407","1,116","1,362",22,27,2,2,1,2,,,,0,0,0,0,,115,235,50,,50,15,30.6122449,30,,30,15,30.6122449,30,,30,145,296,110,0,110,"11,735","1,531","1,531","14,796",2500,"1,500","1,500","5,500",0,0,"270,019","35,220","35,220","340,459","70,500","42,210","42,210","154,920","261,918","34,163","34,163","330,245","68,100","40,860","40,860","149,820","23,573","3,075","3,075","29,722","6,129","3,677","3,677","13,484",,,Plan < AOP | Plan > Inventory (Shortage),"136,505","17,805","17,805","172,115","130,222","16,976","16,947","164,145","13,996","1,814","1,787","17,597",Sitamarhi
Sitamarhi11000013,Bihar11000013,Vaishali_Cluster,Vaishali_Cluster11000013,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,11000013,DeHaat Khurak 5000 50 Kg,CATTLE FEED,,,PRIVATE LABEL,DEHAAT KHURAK 5000,50,D,9.0%,9.0%,"1,510","1,242","1,230",25,25,1,1,1,1,,,,0,0,0,0,,5,7,30,,30,10,13.46153846,21,,21,10,13.46153846,20,,20,25,34,71,0,71,337,673,673,"1,683",1500,"1,050","1,000","3,550",0,0,"8,618","17,236","17,236","43,091","45,300","31,710","30,200","107,210","8,360","16,719","16,719","41,798","36,900","25,830","24,600","87,330",752,"1,505","1,505","3,762","3,321","2,325","2,214","7,860",,,Plan > AOP | Plan > Inventory (Shortage),"6,450","12,900","12,900","32,250","6,255","12,713","12,313","31,281",623,"1,449","1,051","3,123",Sitamarhi
Sitamarhi11000080,Bihar11000080,Vaishali_Cluster,Vaishali_Cluster11000080,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,11000080,Clean jer 1 L,CATTLE FEED,,,PRIVATE LABEL,CLEAN JER,1,A,43.0%,43.0%,200,155,195,155,195,,,1,1,,,,0,0,0,0,,,0,,,0,,0,,,0,10,11.11111111,,,0,10,11,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,"1,794","1,794",0,0,0,0,0,0,"1,722","1,722",0,0,0,0,0,0,741,741,0,0,0,0,,,No AOP | Plan = Inventory (At Par),,,"1,840","1,840",,,"1,656","1,656",,,"1,048","1,048",Sitamarhi
Sitamarhi11000141,Bihar11000141,Vaishali_Cluster,Vaishali_Cluster11000141,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,11000141,Clean Jer 500 ML,CATTLE FEED,,,PRIVATE LABEL,CLEAN JER,0.5,A,33.0%,33.0%,105,84,102,168,204,,,2,2,,,,0,0,0,0,,,0,,,0,,0,,,0,13,14.44444444,,,0,13,14,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,"1,264","1,264",0,0,0,0,0,0,"1,213","1,213",0,0,0,0,0,0,400,400,0,0,0,0,,,No AOP | Plan = Inventory (At Par),,,"1,339","1,339",,,"1,205","1,205",,,715,715,Sitamarhi
Sitamarhi11000065,Bihar11000065,Vaishali_Cluster,Vaishali_Cluster11000065,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,11000065,Dehaat Balance Diet 50 Kg,CATTLE FEED,,,PRIVATE LABEL,DEHAAT BALANCE DIET 25,50,D,8.0%,6.0%,"1,220",938,"1,121",19,22,1,1,1,1,,,,0,0,0,0,,10,9,10,,10,15,13.63636364,10,,10,20,18.18181818,20,,20,45,41,40,0,40,455,682,909,"2,045",500,500,"1,000","2,000",0,0,"8,791","13,187","17,582","39,560","12,100","12,200","24,400","48,700","8,527","12,791","17,055","38,373","11,210","11,210","22,420","44,840",682,"1,023","1,364","3,070",673,673,"1,345","2,690",,,Plan > AOP | Plan > Inventory (Shortage),"10,000","15,000","20,100","45,100","9,850","14,785","19,011","43,646","1,201","1,811","1,715","4,727",Sitamarhi
Sitamarhi11000005,Bihar11000005,Vaishali_Cluster,Vaishali_Cluster11000005,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,11000005,DeHaat Khurak 2000 25 Kg,CATTLE FEED,,,PRIVATE LABEL,DEHAAT KHURAK 2000,25,C,10.0%,9.6%,673,549,627,22,25,1,1,,1,,,,0,0,0,0,,10,26,10,,10,25,65,30,,30,,0,,,0,35,90,40,0,40,645,"1,613",0,"2,258",250,750,0,"1,000",0,0,"14,606","36,515",0,"51,121","6,430","20,190",0,"26,620","14,168","35,419",0,"49,587","6,270","18,810",0,"25,080","1,417","3,542",0,"4,959",602,"1,806",0,"2,408",16%,18%,Plan < AOP | Plan > Inventory (Shortage),"5,630","14,075",,"19,705","5,447","13,870",,"19,317",510,"1,525",,"2,035",Sitamarhi
Sitamarhi11000006,Bihar11000006,Vaishali_Cluster,Vaishali_Cluster11000006,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,11000006,DeHaat Khurak 2000 50 Kg,CATTLE FEED,,,PRIVATE LABEL,DEHAAT KHURAK 2000,50,D,9.0%,9.6%,"1,332","1,067","1,230",21,25,1,1,1,1,,,,0,0,0,0,,10,11,10,,10,30,34,20,,20,40,46,30,,30,80,91,60,0,60,571,"1,714","2,286","4,571",500,"1,000","1,500","3,000",0,0,"12,571","37,714","50,286","100,571","12,490","26,640","39,960","79,090","12,194","36,583","48,777","97,554","12,300","24,600","36,900","73,800","1,097","3,292","4,390","8,780","1,181","2,362","3,542","7,085",16%,18%,Plan < AOP | Plan > Inventory (Shortage),"11,120","33,360","44,480","88,960","10,756","32,871","42,237","85,864","1,002","3,607","3,226","7,835",Sitamarhi
Sitamarhi11000035,Bihar11000035,Vaishali_Cluster,Vaishali_Cluster11000035,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,11000035,Vetnocal Gel 300 ml,CATTLE FEED,,,PRIVATE LABEL,VETNOCAL GEL,0.3,A,53.0%,53.0%,140,120,137,400,457,,,1,1,,,,0,0,0,0,,,0,,,0,,0,,,0,10,19,20,,20,10,19,20,0,20,0,0,6,6,0,0,6,6,0,0,0,0,"2,315","2,315",0,0,"2,800","2,800",0,0,"2,222","2,222",0,0,"2,740","2,740",0,0,"1,178","1,178",0,0,"1,452","1,452",10%,18%,No AOP | Plan = Inventory (At Par),,,"1,300","1,300",,,"1,170","1,170",,,606,606,Sitamarhi
Sitamarhi11000036,Bihar11000036,Vaishali_Cluster,Vaishali_Cluster11000036,East,Bihar,Sitamarhi,Sanjeev Kumar Suman,11000036,Vetnocal Gold 5 L,CATTLE FEED,,,PRIVATE LABEL,VETNOCAL GOLD,5,A,43.0%,43.0%,520,460,507,92,101,,,1,1,,,,0,0,0,0,,,0,,,0,,0,,,0,4,10,,,0,4,10,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,"4,792","4,792",0,0,0,0,0,0,"4,600","4,600",0,0,0,0,0,0,"1,978","1,978",0,0,0,0,13%,18%,No AOP | Plan = Inventory (At Par),,,"2,248","2,248",,,"2,023","2,023",,,963,963,Sitamarhi
